,Pays,pop_2017,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Importations - Quantité,Nourriture,Pib_2017,Investment,Pib_hab17
0,Afghanistan,36296113.0,-2.7,5.0,29.0,55.0,18896352021.0,51.533897,520.6164092832751
1,Afrique du Sud,57009756.0,-0.22,143.0,514.0,2035.0,349006689642.0,2008.360978,6121.8765721782775
2,Albanie,2884169.0,0.36,85.0,38.0,47.0,13019729856.0,1016.561053,4514.204908242201
3,Algérie,41389189.0,-0.99,22.0,2.0,264.0,170096984537.0,1232.341924,4109.696001460671
4,Allemagne,82658409.0,0.64,71.0,842.0,1609.0,3690849152518.0,33261.034105,44651.82910208204
5,Angola,29816766.0,-0.39,35.0,277.0,315.0,122123858628.0,-7397.3,4095.811686217077
6,Antigua-et-Barbuda,95426.0,0.87,233.0,7.0,5.0,1467977778.0,151.271628,15383.415190828497
7,Arabie saoudite,33101179.0,-0.59,151.0,722.0,1435.0,688586094413.0,1418.843614,20802.464299323
8,Argentine,43937140.0,0.1,182.0,8.0,1856.0,643628396191.0,11516.861462,14648.845969287033
9,Arménie,2944791.0,-0.49,54.0,35.0,47.0,11527458713.0,-104.174834,3914.52524576447
10,Australie,24584620.0,0.96,192.0,16.0,1171.0,1416783718751.0,46114.227904,57628.86384865823
11,Autriche,8819901.0,1.0,65.0,110.0,160.0,417261151845.0,14953.513855,47309.0516373143
12,Azerbaïdjan,9845320.0,-0.75,44.0,27.0,129.0,40866632048.0,2867.0,4150.868844080233
13,Bahamas,381755.0,0.94,182.0,24.0,16.0,12359749424.0,901.448,32376.129779570667
14,Bangladesh,159685424.0,-1.18,7.0,0.0,240.0,245633488923.0,2151.64,1538.2336269026032
15,Barbade,286232.0,1.0,199.0,2.0,13.0,4985965000.0,206.157363,17419.313703569132
16,Belgique,11419748.0,0.46,44.0,338.0,144.0,502764720556.0,-708.306504,44025.90324725204
17,Belize,375769.0,0.04,110.0,0.0,10.0,1844906692.0,24.494687,4909.683055281304
18,Bolivie (État plurinational de),11192855.0,-0.27,155.0,1.0,403.0,37508683068.0,1209.2,3351.127399398992
19,Bosnie-Herzégovine,3351525.0,-0.39,56.0,10.0,56.0,18080610875.0,491.888017,5394.741460976719
20,Botswana,2205080.0,1.01,12.0,3.0,7.0,17405496707.0,260.575045,7893.362919712664
22,Bulgarie,7102444.0,0.22,81.0,108.0,157.0,59200845118.0,1813.806893,8335.277985718718
23,Burkina Faso,19193234.0,-0.87,8.0,0.0,44.0,14106955625.0,2.57269,734.9962817626254
24,Bélarus,9450231.0,0.14,95.0,21.0,264.0,54725418814.0,1278.5,5790.908054416871
25,Bénin,11175198.0,-0.03,37.0,123.0,161.0,12701655846.0,168.995366,1136.5933602250268
26,Cabo Verde,537498.0,0.85,62.0,12.0,9.0,1769786532.0,109.483591,3292.6383577241218
27,Cambodge,16009409.0,0.12,11.0,10.0,37.0,22177200626.0,2788.084322,1385.2604194196051
28,Cameroun,24566073.0,-1.14,11.0,0.0,78.0,35009259798.0,814.002,1425.1060720205464
29,Canada,36732095.0,1.15,154.0,182.0,1433.0,1649518967468.0,22766.845925,44906.74891992956
30,Chili,18470439.0,0.42,153.0,155.0,672.0,277034678676.0,4377.88106,14998.813979245431
32,Chine - RAS de Macao,622585.0,1.32,142.0,23.0,21.0,50456759225.0,1509.294044,81043.96865488247
33,"Chine, Taiwan Province de",23674546.0,0.89,126.0,161.0,785.0,501127044287.0,7513.192,21167.334921100493
35,Chypre,1179678.0,0.54,91.0,14.0,30.0,22870734322.0,9437.308661,19387.26866314367
36,Colombie,48909839.0,-0.88,111.0,78.0,1565.0,311883730442.0,13836.696227,6376.707362336646
37,Congo,5110695.0,-0.48,72.0,104.0,110.0,11011651900.0,4416.953734,2154.629047517021
38,Costa Rica,4949954.0,0.6,92.0,17.0,131.0,60516044623.0,2778.314023,12225.57717162624
39,Croatie,4182857.0,0.68,37.0,24.0,45.0,56214432403.0,1010.596921,13439.243178286992
40,Cuba,11339254.0,0.66,82.0,312.0,269.0,96851000000.0,4053.168517,8541.21443968007
41,Côte d'Ivoire,24437470.0,-0.93,8.0,7.0,62.0,51588154312.0,975.014929,2111.0268089127067
42,Danemark,5732274.0,0.9,112.0,133.0,166.0,332121063806.0,3748.661569,57938.79772774295
43,Djibouti,944099.0,-0.49,9.0,3.0,3.0,2766868072.0,164.929862,2930.696962924439
44,Dominique,71458.0,1.1,150.0,4.0,3.0,520700000.00000006,22.677208,7286.797839290213
45,El Salvador,6388126.0,-0.19,71.0,16.0,131.0,24979190000.0,889.1,3910.253179101352
46,Espagne,46647428.0,0.31,105.0,205.0,1418.0,1312539279462.0,41966.51642,28137.44156402364
47,Estonie,1319390.0,0.63,86.0,21.0,28.0,26924385103.0,1950.836525,20406.691806819817
48,Eswatini,1124805.0,-0.4,22.0,2.0,7.0,4401526105.0,-56.010183,3913.145927516325
49,Fidji,877459.0,0.74,97.0,3.0,25.0,5353491805.0,386.185942,6101.130428886136
50,Finlande,5511371.0,1.01,68.0,16.0,103.0,255647979916.0,2863.727251,46385.55087581656
51,France,64842509.0,0.08,92.0,506.0,1485.0,2595151045198.0,24832.525615,40022.37244086283
52,Fédération de Russie,145530082.0,-0.79,104.0,226.0,4509.0,1574199379405.0,28557.435,10817.003314854175
53,Gabon,2064823.0,-0.11,99.0,76.0,61.0,14929646484.0,1314.02933,7230.472773695374
54,Gambie,2213889.0,-0.14,12.0,16.0,8.0,1504954083.0,18.444836,679.7784726334518
55,Ghana,29121465.0,-0.02,16.0,151.0,211.0,60403027568.0,3255.0,2074.1754430280207
56,Grenade,110874.0,0.95,192.0,7.0,5.0,1125685185.0,155.662145,10152.832810217003
57,Grèce,10569450.0,-0.06,53.0,79.0,162.0,199844418440.0,3484.812643,18907.740557928748
58,Guatemala,16914970.0,-0.6,71.0,129.0,348.0,71653756545.0,1130.0,4236.1149056131935
59,Guinée,12067519.0,-0.59,14.0,37.0,49.0,10324668257.0,577.59,855.5750570601961
60,Guinée-Bissau,1828145.0,-0.54,7.0,4.0,4.0,1350177012.0,15.691198,738.5502856720884
61,Guyana,775222.0,-0.1,165.0,0.0,30.0,4748174334.0,212.151382,6124.922066195232
62,Géorgie,4008716.0,-0.4,51.0,51.0,61.0,16242687078.0,1980.773343,4051.842804030018
63,Haïti,10982366.0,-0.68,31.0,89.0,98.0,15237360994.0,374.86,1387.4388263876838
64,Honduras,9429013.0,-0.5,93.0,12.0,205.0,23136248046.0,1175.7,2453.7295733922524
65,Hongrie,9729823.0,0.74,104.0,58.0,246.0,143136245597.0,3514.894612,14711.084219825992
67,Indonésie,264650963.0,-0.51,25.0,1.0,1904.0,1015618744170.0,20579.22,3837.578116691002
68,Iran (République islamique d'),80673883.0,-1.01,96.0,6.0,2220.0,503710010469.0,5019.0,6243.780412416742
69,Iraq,37552781.0,-2.35,52.0,470.0,561.0,187217652027.0,-5032.4,4985.453727834431
70,Irlande,4753279.0,0.94,100.0,99.0,123.0,335430830073.0,52834.920539,70568.3024440602
71,Islande,334393.0,1.36,104.0,2.0,10.0,24728285177.0,-41.407008,73949.76921466658
72,Israël,8243848.0,-0.92,234.0,0.0,556.0,355277447980.0,16893.0,43096.0696970638
73,Italie,60673701.0,0.35,65.0,97.0,1146.0,1961796197354.0,24047.083743,32333.55086339632
74,Jamaïque,2920848.0,0.29,178.0,31.0,149.0,14808985267.0,888.833494,5070.097884929308
75,Japon,127502725.0,1.05,67.0,1069.0,2359.0,4930837369151.0,9355.587239,38672.407739920855
76,Jordanie,9785843.0,-0.48,98.0,64.0,275.0,41408450704.0,2029.71831,4231.464852236031
77,Kazakhstan,18080019.0,-0.01,61.0,174.0,330.0,166805788967.0,4714.081831,9225.97420760454
78,Kenya,50221142.0,-1.22,2.0,0.0,34.0,82064798407.0,664.568039,1634.068743538329
79,Kirghizistan,6189733.0,-0.61,11.0,25.0,19.0,7702938395.0,-107.2,1244.470221090312
80,Kiribati,114158.0,0.9,63.0,1.0,2.0,188197759.0,0.785,1648.5726712100773
81,Koweït,4056099.0,-0.05,156.0,137.0,188.0,120687750672.0,348.122169,29754.636332101363
82,Lesotho,2091534.0,-0.23,27.0,15.0,17.0,2304459267.0,123.1,1101.8033974107043
83,Lettonie,1951097.0,0.45,72.0,43.0,41.0,30483806018.0,667.638188,15623.931571828569
84,Liban,6819373.0,-1.64,38.0,13.0,73.0,53324800959.0,2522.409653,7819.604670253409
85,Libéria,4702226.0,-0.45,36.0,48.0,50.0,2763000000.0,247.84,587.5940458838006
86,Lituanie,2845414.0,0.78,96.0,44.0,80.0,47758736932.0,1020.786028,16784.45981217496
87,Luxembourg,591910.0,1.39,69.0,11.0,11.0,65712180343.0,-27368.646988,111017.18224561166
88,Macédoine du Nord,2081996.0,-0.27,68.0,40.0,41.0,11307061190.0,205.298178,5430.875558838729
89,Madagascar,25570512.0,-0.4,14.0,0.0,73.0,13176313594.0,357.862206,515.2933032392938
90,Malaisie,31104646.0,0.19,142.0,68.0,1220.0,319109103242.0,9398.814546,10259.210255664057
91,Malawi,17670196.0,-0.19,17.0,0.0,91.0,8943543794.0,90.199691,506.13721511634617
92,Maldives,496402.0,0.29,47.0,12.0,7.0,4754185598.0,457.808314,9577.28937030874
