Pays,TCAM,indexpolitic,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib
Iraq,2.2351771863619474,-2.35,14.95,0.0,470.0,561.0,-0.0919478553223496
Irlande,0.8158523374491855,0.94,25.82,93.0,99.0,123.0,8.28477293851031
Islande,0.4893532271726286,1.36,29.95,0.0,2.0,10.0,8.011192043519832
Israël,1.3080557569505435,-0.92,67.39,3.0,0.0,556.0,3.741909292553736
Italie,0.0719613688335618,0.35,18.88,183.0,97.0,1146.0,-0.6303833651812529
Jamaïque,0.4119321485043015,0.29,51.1,1.0,31.0,149.0,2.506644033558736
Japon,-0.1512655883838309,1.05,18.5,10.0,1069.0,2359.0,0.5649406741051077
Jordanie,2.243727611899038,-0.48,28.07,10.0,64.0,275.0,3.1038964024260096
Kazakhstan,1.1488463548542382,-0.01,18.27,6.0,174.0,330.0,-4.127561555870929
Kenya,1.9334164211583185,-1.22,0.67,0.0,0.0,34.0,6.4939554576029845
Kirghizistan,1.5251654903992495,-0.61,3.1,0.0,25.0,19.0,2.0635492732673733
Kiribati,1.153436066545166,0.9,17.98,0.3333333333333333,1.0,2.0,1.9842331777290445
Koweït,2.3095640170631704,-0.05,46.25,4.0,137.0,188.0,-3.205884981945417
Lesotho,0.6271203619937937,-0.23,7.93,0.0,15.0,17.0,0.5810865422158473
Lettonie,-0.9351907622499044,0.45,20.89,20.0,43.0,41.0,1.8945308516858936
Liban,1.8422477346854649,-1.64,10.74,4.0,13.0,73.0,2.805946163230644
Libéria,2.0242574670382485,-0.45,10.67,0.0,48.0,50.0,5.981317105948447
Lituanie,-1.1729688944611794,0.78,28.19,68.0,44.0,80.0,2.045872284186845
Luxembourg,1.73251865320998,1.39,18.33,1.0,11.0,11.0,0.7375768882629918
Macédoine du Nord,0.0498305940735743,-0.27,19.73,1.0,40.0,41.0,2.223782162526456
Madagascar,2.1695354752790053,-0.4,2.87,1.6666666666666667,0.0,73.0,1.9019550356096813
Malaisie,1.0886064046480737,0.19,39.21,44.0,68.0,1220.0,1.192638869512597
Malawi,2.1788548052325662,-0.19,5.17,1.0,0.0,91.0,6.362432181490618
Maldives,3.461294052460895,0.29,13.5,0.3333333333333333,12.0,7.0,7.471629543028313
Mali,2.412370187812707,-1.83,2.83,0.0,1.0,52.0,3.4781619518819085
Malte,0.4172868376814298,1.17,27.17,0.0,9.0,12.0,5.713295427388188
Maroc,1.0519871093356723,-0.34,20.96,1.0,3.0,746.0,1.4156298346325036
Maurice,0.1558732902130266,0.96,37.93,0.0,2.0,48.0,2.066151918011472
Mauritanie,2.295752338009472,-0.66,5.14,0.0,24.0,22.0,2.241877122824132
Mexique,0.951461483215521,-0.72,32.52,9.0,972.0,4058.0,-1.456003378985915
Mongolie,1.5184817169966005,0.78,2.77,0.0,10.0,9.0,1.403188035835723
Monténégro,0.0371226485650133,0.1,15.98,0.0,8.0,10.0,3.719959579985721
Mozambique,2.3309733007016,-0.84,3.59,1.3333333333333333,24.0,103.0,-3.47389066910766
Myanmar,0.5402194396047832,-1.08,30.37,0.0,3.0,1621.0,0.9882326118008766
Namibie,1.4931921546806226,0.69,11.53,12.0,29.0,28.0,1.94589869442634
Nicaragua,1.02948453856464,-0.3,21.59,0.0,6.0,138.0,1.856917857412688
Niger,3.127305658659174,-1.2,0.94,0.0,3.0,20.0,3.323309624267768
Nigéria,2.115934411413889,-1.98,1.01,0.0,0.0,192.0,-5.793732645904715
Norvège,0.749802814499323,1.17,19.05,0.0,2.0,101.0,-2.5955343795688868
Nouvelle-Calédonie,0.8990570054246749,1.12,38.71,0.0,9.0,11.0,-1.5018885987604702
Nouvelle-Zélande,0.7573645176156107,1.55,34.79,23.0,1.0,164.0,1.0353570136200083
Népal,0.8691260705670834,-0.76,1.99,0.0,0.0,55.0,7.1843649179936575
Oman,3.699822917197437,0.74,21.63,16.0,126.0,101.0,-0.2236079595364093
Ouganda,2.970358789609895,-0.7,1.52,0.0,0.0,62.0,-2.6625130149646847
Ouzbékistan,1.3125109916472644,-0.3,1.96,0.0,1.0,88.0,-8.047982593507253
Pakistan,1.675888262895353,-2.41,5.86,4.0,2.0,1218.0,2.6803409249822385
