Zone_x,Code zone,pop_2017,TCAM,prixpoulet,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib,Investment,Pib_hab17
République de Moldova,146,4059684.0,-0.10560388107109242,1187.2,-0.34,55.0,0.0,16.0,66.0,3.7957620535227443,151.59,2381.895177802016
République dominicaine,56,10513104.0,0.8928170568709426,1032.8,0.17,123.0,6.0,42.0,371.0,4.957644764550473,3570.7,7609.365033961426
République démocratique populaire lao,120,6953035.0,1.2392816146032493,4146.866666666667,0.47,41.0,2.6666666666666665,54.666666666666664,277.6666666666667,6.456350219965157,1599.37,2455.2116751893236
République populaire démocratique de Corée,116,25429825.0,0.3894977842232361,2284.488888888889,-0.67,8.0,0.0,0.0,41.0,0.10489504502637637,-12.832422,682.8487781964682
République-Unie de Tanzanie,215,54660339.0,2.4228714437088517,1403.3999999999999,-0.5,6.0,54.666666666666664,2.0,103.0,2.729332550086494,937.7,1001.1609186690189
Saint-Kitts-et-Nevis,188,52045.0,0.6481779514939223,4304.033333333333,0.64,190.0,0.0,4.0,3.0,1.9769795225308195,48.026116,19155.431722547793
Saint-Vincent-et-les Grenadines,191,109827.0,0.24680147816884546,2959.7333333333336,0.94,243.0,2.6666666666666665,9.0,8.0,2.1983894772978685,163.275188,7212.9601828330005
Sainte-Lucie,189,180954.0,0.399827594130997,3096.3,0.97,241.0,2.6666666666666665,10.0,10.0,3.29547358588107,89.941452,11034.68489229307
Samoa,244,195352.0,0.4033483536606486,4324.788888888889,1.18,217.0,0.0,17.0,13.0,1.3465603255869096,9.078017,4223.478961054916
Sao Tomé-et-Principe,193,207089.0,1.5167881172568176,4324.788888888889,0.27,33.0,2.6666666666666665,2.0,2.0,3.5485392566543927,34.2085,1828.194018030895
Serbie,272,8829628.0,-0.2156548100708866,1037.1,0.12,35.0,7.0,12.0,90.0,1.4764880827796478,2878.572864,5003.503580785057
Sierra Leone,197,7488423.0,1.7423730271914906,4456.866666666667,-0.1,10.0,0.0,14.0,30.0,-4.019384592609798,128.88345,499.38123981511194
Slovaquie,199,5447900.0,0.0890359270445229,934.7,0.81,48.0,35.0,63.0,76.0,0.9062298626756782,4016.771139,17510.14429009343
Slovénie,198,2076393.9999999998,0.0999119788832159,1123.5,0.93,83.0,29.0,20.0,51.0,1.6407793089363354,897.753076,23400.71298751586
Soudan,276,40813397.0,1.937226422101701,1409.0,-2.08,5.0,4.0,2.0,65.0,-9.137819387733082,1065.298481,2990.9948432128795
Sri Lanka,38,21128032.0,0.42001016226351773,2599.95,-0.03,26.0,2.0,0.0,164.0,2.0806944214369016,1372.723043,4138.0151998065885
Suisse,211,8455804.0,0.7671043731364957,2460.6,1.31,55.0,4.0,51.0,133.0,0.031100361215186112,111200.618476,83313.01399180965
Suriname,207,570496.0,0.8080219951898782,2703.1000000000004,0.16,112.0,5.0,18.0,18.0,-7.481932434243843,98.2,5947.369350530065
Suède,210,9904896.0,0.5702305439404531,966.7000000000002,0.97,61.0,23.0,84.0,164.0,-0.9280736296385483,12508.685369,54621.34582422672
Sénégal,195,15419355.0,2.2648830837380673,2773.7,-0.12,16.0,0.0,0.0,73.0,3.1762606335477894,588.292998,1361.7022143273828
Tadjikistan,208,8880268.0,1.9754514675257129,4320.599999999999,-0.77,18.0,2.6666666666666665,38.0,39.0,-3.9080342223516196,307.029651,848.6684351193004
Tchad,39,15016753.0,2.5247303857703907,3056.0,-1.26,2.0,0.0,1.0,7.0,-4.74290439655749,363.381636,692.1616295480121
Tchéquie,167,10641034.0,0.14041944451321786,993.7,1.0,82.0,27.0,116.0,234.0,3.524753226193633,9521.682026,20545.836142615462
Thaïlande,216,69209810.0,0.2875655356203932,1098.4,-0.88,47.0,796.0,2.0,896.0,4.458474305715576,8286.86401,6593.816870397419
Timor-Leste,176,1243258.0,1.5462674386177877,3802.861111111111,0.0,14.0,2.6666666666666665,11.0,5.0,1.8197698156150466,6.716,1299.4967231258515
Togo,217,7698474.0,2.0211245728297023,2637.1000000000004,-0.54,24.0,0.0,16.0,54.0,4.614718802206519,88.560066,829.7000475678686
Trinité-et-Tobago,220,1384059.0,0.4004659606797967,2350.266666666667,0.28,189.0,0.0,23.0,75.0,-2.9319897355949864,-456.9,16747.918804039422
Tunisie,222,11433443.0,0.8914761896800627,1384.5333333333335,-1.0,57.0,4.0,0.0,195.0,-3.5434993332688847,881.201112,3481.2036121577726
Turkménistan,213,5757667.0,1.369058407309387,4244.816666666667,-0.11,15.0,5.333333333333333,9.0,26.0,-2.528887063998253,2085.944135,6752.362493523852
Turquie,223,81116450.0,1.2898423433479689,2877.2,-1.65,71.0,429.0,3.0,1674.0,-3.6787583418455228,7401.0,10589.573121111685
Ukraine,230,44487709.0,-0.3866389124800862,1063.5,-1.89,78.0,273.0,121.0,1006.0,-0.3928720931839269,3692.946822,2521.8275138196036
Uruguay,234,3436641.0,0.28567336074998284,1304.25,1.04,33.0,3.0,3.0,31.0,1.2985200302399136,-590.451027,18690.9155954899
Vanuatu,155,285510.0,2.0926979751415997,4324.788888888889,0.66,40.0,2.6666666666666665,4.0,3.0,2.3362742256820335,38.248639,3082.3683653812477
Venezuela (République bolivarienne du),236,29402484.0,-0.7815870357528509,2852.433333333333,-1.16,71.0,0.0,25.0,596.0,-10.909433113488697,-68.0,8432.288335196441
Viet Nam,237,94600648.0,0.8220408962677839,3852.8,0.15,48.0,1.0,291.0,1166.0,5.660055242849427,14100.0,2365.5214935631307
Yémen,249,27834819.0,1.9910323502314586,5091.4,-2.86,30.0,0.0,78.0,237.0,-7.170180563560457,-269.85,745.0876766613787
Zambie,251,16853599.0,2.415454742821188,2338.2000000000003,0.13,11.0,1.0,12.0,58.0,-0.28722996407481993,1107.4,1534.8746274905436
Zimbabwe,181,14236595.0,1.2239755698138621,4000.0,-0.67,16.0,3.0,6.0,67.0,4.514273084477249,349.41958,1548.1863676672688
Égypte,59,96442591.0,1.709723665687557,1510.5,-1.38,50.0,1.0,110.0,1250.0,-3.6608383430115077,13163.1,2023.3311578387602
Émirats arabes unis,225,9487203.0,0.888720806685428,2203.6777777777775,0.66,147.0,94.0,433.0,412.0,0.9290450156758334,10354.223,40644.804043404576
Équateur,58,16785361.0,1.3812346066688574,1733.3,-0.1,83.0,0.0,0.0,324.0,1.1218727542029017,629.542412,6213.501276499207
États-Unis d'Amérique,231,325084756.0,0.5231180607672137,1201.5,0.45,219.0,3692.0,123.0,18100.0,3.1827135667859885,308957.0,59921.67470319648
Éthiopie,238,106399924.0,2.172782588119304,3872.1,-1.52,0.0,4.666666666666667,1.0,14.0,8.169578556352564,4017.1,721.7534940250521
Îles Salomon,25,636039.0,2.1466913382819364,3261.0277777777774,0.43,18.0,0.0,6.0,3.0,3.3479804780005784,42.8399,2332.87385521957
