Pays,pop_2017,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Importations - Quantité,Nourriture,Pib_2017,Investment,Pib_hab17,Clusterkmeans2
Afghanistan,36296113.0,-2.7,5.0,29.0,55.0,18896352021.0,51.533897,520.6164092832751,groupe 2
Afrique du Sud,57009756.0,-0.22,143.0,514.0,2035.0,349006689642.0,2008.360978,6121.8765721782775,groupe 2
Albanie,2884169.0,0.36,85.0,38.0,47.0,13019729856.0,1016.561053,4514.204908242201,groupe 4
Algérie,41389189.0,-0.99,22.0,2.0,264.0,170096984537.0,1232.341924,4109.696001460671,groupe 4
Allemagne,82658409.0,0.64,71.0,842.0,1609.0,3690849152518.0,33261.034105,44651.82910208204,groupe 3
Angola,29816766.0,-0.39,35.0,277.0,315.0,122123858628.0,-7397.3,4095.811686217077,groupe 4
Antigua-et-Barbuda,95426.0,0.87,233.0,7.0,5.0,1467977778.0,151.271628,15383.415190828497,groupe 1
Arabie saoudite,33101179.0,-0.59,151.0,722.0,1435.0,688586094413.0,1418.843614,20802.464299323,groupe 3
Argentine,43937140.0,0.1,182.0,8.0,1856.0,643628396191.0,11516.861462,14648.845969287033,groupe 1
Arménie,2944791.0,-0.49,54.0,35.0,47.0,11527458713.0,-104.174834,3914.52524576447,groupe 4
Australie,24584620.0,0.96,192.0,16.0,1171.0,1416783718751.0,46114.227904,57628.86384865823,groupe 3
Autriche,8819901.0,1.0,65.0,110.0,160.0,417261151845.0,14953.513855,47309.0516373143,groupe 1
Azerbaïdjan,9845320.0,-0.75,44.0,27.0,129.0,40866632048.0,2867.0,4150.868844080233,groupe 4
Bahamas,381755.0,0.94,182.0,24.0,16.0,12359749424.0,901.448,32376.129779570667,groupe 1
Bangladesh,159685424.0,-1.18,7.0,0.0,240.0,245633488923.0,2151.64,1538.2336269026032,groupe 2
Barbade,286232.0,1.0,199.0,2.0,13.0,4985965000.0,206.157363,17419.313703569132,groupe 1
Belgique,11419748.0,0.46,44.0,338.0,144.0,502764720556.0,-708.306504,44025.90324725204,groupe 1
Belize,375769.0,0.04,110.0,0.0,10.0,1844906692.0,24.494687,4909.683055281304,groupe 4
Bolivie (État plurinational de),11192855.0,-0.27,155.0,1.0,403.0,37508683068.0,1209.2,3351.127399398992,groupe 1
Bosnie-Herzégovine,3351525.0,-0.39,56.0,10.0,56.0,18080610875.0,491.888017,5394.741460976719,groupe 4
Botswana,2205080.0,1.01,12.0,3.0,7.0,17405496707.0,260.575045,7893.362919712664,groupe 4
Bulgarie,7102444.0,0.22,81.0,108.0,157.0,59200845118.0,1813.806893,8335.277985718718,groupe 4
Burkina Faso,19193234.0,-0.87,8.0,0.0,44.0,14106955625.0,2.57269,734.9962817626254,groupe 4
Bélarus,9450231.0,0.14,95.0,21.0,264.0,54725418814.0,1278.5,5790.908054416871,groupe 4
Bénin,11175198.0,-0.03,37.0,123.0,161.0,12701655846.0,168.995366,1136.5933602250268,groupe 4
Cabo Verde,537498.0,0.85,62.0,12.0,9.0,1769786532.0,109.483591,3292.6383577241218,groupe 4
Cambodge,16009409.0,0.12,11.0,10.0,37.0,22177200626.0,2788.084322,1385.2604194196051,groupe 4
Cameroun,24566073.0,-1.14,11.0,0.0,78.0,35009259798.0,814.002,1425.1060720205464,groupe 4
Canada,36732095.0,1.15,154.0,182.0,1433.0,1649518967468.0,22766.845925,44906.74891992956,groupe 3
Chili,18470439.0,0.42,153.0,155.0,672.0,277034678676.0,4377.88106,14998.813979245431,groupe 1
Chine - RAS de Macao,622585.0,1.32,142.0,23.0,21.0,50456759225.0,1509.294044,81043.96865488247,groupe 1
"Chine, Taiwan Province de",23674546.0,0.89,126.0,161.0,785.0,501127044287.0,7513.192,21167.334921100493,groupe 1
